"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2468","Login form elements are visible","chromium","Sun Jun 15 11:23:43 EEST 2025","passed","Sun Jun 15 11:23:45 EEST 2025","Redmine Login Form Tests","tests\login.spec.js","",""
"","30692","test","chromium","Thu Jun 12 18:24:37 EEST 2025","broken","Thu Jun 12 18:25:08 EEST 2025","","tests\homepage.spec.js","",""
"","2896","Login form validation","chromium","Mon Jun 16 12:23:58 EEST 2025","passed","Mon Jun 16 12:24:01 EEST 2025","Redmine Login Tests","tests\login.spec.js","",""
"","3416","should display news titles","chromium","Mon Jun 16 12:23:57 EEST 2025","passed","Mon Jun 16 12:24:01 EEST 2025","Redmine News Page Tests","tests\news.spec.js","",""
"","5943","Failed login with invalid credentials","chromium","Mon Jun 16 12:23:52 EEST 2025","passed","Mon Jun 16 12:23:58 EEST 2025","Redmine Login Tests","tests\login.spec.js","",""
"","3270","should load news page successfully","chromium","Mon Jun 16 12:23:50 EEST 2025","passed","Mon Jun 16 12:23:53 EEST 2025","Redmine News Page Tests","tests\news.spec.js","",""
"","2434","Login form functionality","chromium","Sun Jun 15 11:27:23 EEST 2025","passed","Sun Jun 15 11:27:26 EEST 2025","Redmine Login Tests","tests\login.spec.js","",""
"","6508","Verify Homepage Loads Successfully","chromium","Thu Jun 12 18:34:46 EEST 2025","failed","Thu Jun 12 18:34:53 EEST 2025","","tests\homepage.spec.js","",""
"","30079","Successful login with valid credentials","chromium","Sun Jun 15 11:56:14 EEST 2025","broken","Sun Jun 15 11:56:44 EEST 2025","Redmine Login Tests","tests\login.spec.js","",""
"","2916","should have pagination","chromium","Mon Jun 16 12:24:04 EEST 2025","passed","Mon Jun 16 12:24:07 EEST 2025","Redmine News Page Tests","tests\news.spec.js","",""
"","30741","Перевірка навігації по Redmine","chromium","Thu Jun 12 18:28:40 EEST 2025","broken","Thu Jun 12 18:29:10 EEST 2025","","tests\homepage.spec.js","",""
"","30086","Form validation for invalid input","chromium","Sun Jun 15 11:23:48 EEST 2025","broken","Sun Jun 15 11:24:18 EEST 2025","Redmine Login Form Tests","tests\login.spec.js","",""
"","3289","should have export formats section","chromium","Mon Jun 16 12:24:07 EEST 2025","passed","Mon Jun 16 12:24:10 EEST 2025","Redmine News Page Tests","tests\news.spec.js","",""
"","193","should navigate to news page from homepage and verify content","chromium","Sun Jun 15 11:33:52 EEST 2025","failed","Sun Jun 15 11:33:52 EEST 2025","News Page Tests","tests\news.spec.js","",""
"","4250","should display news articles","chromium","Mon Jun 16 12:23:53 EEST 2025","passed","Mon Jun 16 12:23:57 EEST 2025","Redmine News Page Tests","tests\news.spec.js","",""
"","30441","Redmine project navigation with POM (universal)","chromium","Thu Jun 12 17:33:40 EEST 2025","broken","Thu Jun 12 17:34:10 EEST 2025","","tests\homepage.spec.js","",""
"","5674","Verify Navigation to Download Page and Download Links","chromium","Mon Jun 16 12:23:50 EEST 2025","passed","Mon Jun 16 12:23:55 EEST 2025","Redmine Download Page Tests","tests\download.spec.js","",""
"","3314","should display news authors","chromium","Mon Jun 16 12:24:01 EEST 2025","passed","Mon Jun 16 12:24:04 EEST 2025","Redmine News Page Tests","tests\news.spec.js","",""
"","2328","Verify Search Functionality","chromium","Mon Jun 16 12:23:50 EEST 2025","passed","Mon Jun 16 12:23:52 EEST 2025","Redmine Search Functionality Tests","tests\search.spec.js","",""
"","2281","Login page elements are present","chromium","Mon Jun 16 12:23:50 EEST 2025","passed","Mon Jun 16 12:23:52 EEST 2025","Redmine Login Tests","tests\login.spec.js","",""
"","20008","Navigate through project links","chromium","Thu Jun 12 18:21:31 EEST 2025","failed","Thu Jun 12 18:21:51 EEST 2025","Redmine project navigation with POM","tests\homepage.spec.js","",""
"","2514","Form validation for empty fields","chromium","Sun Jun 15 11:23:45 EEST 2025","passed","Sun Jun 15 11:23:48 EEST 2025","Redmine Login Form Tests","tests\login.spec.js","",""
"","6449","Form submission with valid format","chromium","Sun Jun 15 11:24:18 EEST 2025","passed","Sun Jun 15 11:24:25 EEST 2025","Redmine Login Form Tests","tests\login.spec.js","",""
"","30110","Verify Navigation to News Page and Content","chromium","Sun Jun 15 11:31:57 EEST 2025","broken","Sun Jun 15 11:32:27 EEST 2025","Redmine News Page Tests","tests\news.spec.js","",""
"","2025","Verify Homepage Loads Successfully","chromium","Mon Jun 16 12:23:50 EEST 2025","passed","Mon Jun 16 12:23:52 EEST 2025","Redmine Homepage Tests","tests\homepage.spec.js","",""
"","2693","Verify Navigation to Download Page","chromium","Thu Jun 12 19:25:30 EEST 2025","passed","Thu Jun 12 19:25:33 EEST 2025","Redmine Download Page Tests","tests\download.spec.js","",""
"","8248","Redmine project navigation with POM","chromium","Thu Jun 12 17:37:53 EEST 2025","failed","Thu Jun 12 17:38:01 EEST 2025","","tests\homepage.spec.js","",""
